##blend;w1;w2;w3;source
##blend;w1;w2;w3;source
##!=Name *=wrong;;;;
konglish;korean;english;0;Katamba05
koodie;kid;foodie;0;Schott11
koogle;kugel;google;0;Schott11
!Kripkenstein;Kripke;Wittgenstein;0;ewPortmanteaus11
laborganization;labor;organization;0;thinkzone11
laddic;ladder;attic;0;ewPortmanteaus11
lastop;last;stop;0;thinkzone11
Laundromat;laundry;automat;0;english4students11
leadvantage;lead;advantage;0;thinkzone11
lecturebuke;lecture;rebuke;0;thinkzone11
legerdemaincantation;legerdemain;incantation;0;thinkzone11
leisurest;leisure;rest;0;thinkzone11
licencertify;licence;certify;0;thinkzone11
lifeeling;life;feeling;0;thinkzone11
lifestival;life;festival;0;thinkzone11
liger;lion;tiger;0;ewPortmanteaus11
likejacking;like;hijacking;0;Schott11
likeonomics;like;economics;0;Schott11
linner;lunch;dinner;0;Schott11
literatureading;literature;reading;0;thinkzone11
locavore;local;omnivore;0;Schott11
lollipopsicle;lollipop;popsicle;0;thinkzone11
longhandwriting;longhand;handwriting;0;thinkzone11
loreligion;lore;religion;0;thinkzone11
lovenjoy;love;enjoy;0;thinkzone11
lumist;luminous;mist;0;BatEl06
lupper;lunch;supper;0;Kubozono00
luxcrete;luxury;concrete;0;o.A
machinima;machine;cinema;0;ewPortmanteaus11
madame;madam;dame;0;thinkzone11
madmaniac;madman;maniac;0;thinkzone11
madvocate;mad;advocate;0;Schott11
magazinewspaper;magazine;newspaper;0;thinkzone11
maleader;male;leader;0;thinkzone11
malware;malicious;software;0;ewPortmanteaus11
mamammy;mama;mammy;0;thinkzone11
mancake;man;cupcake;0;Schott11
mandals;man;sandals;0;ewPortmanteaus11
manimal;man;animal;0;thinkzone11
Manimal;man;animal;0;english4students11
mannon;man;cannon;0;ewPortmanteaus11
manpris;man;capris;0;ewPortmanteaus11
manscaping;man;landscaping;0;Schott11
manscara;man;mascara;0;Schott11
mantastic;man;fantastic;0;wisegeek11
mantastic;man;fantastic;0;ewPortmanteaus11
mantiques;man;antiques;0;Schott11
mantyhose;man;pantyhose;0;Schott11
maridelic;marijuana;psychedelic;0;BatEl06
masqueradeceive;masquerade;deceive;0;thinkzone11
mateammate;mate;teammate;0;thinkzone11
mathercise;mathematics;exercise;0;ewPortmanteaus11
!Mattel;Harold_Matt_Matson;Elliot_Handler;0;ewPortmanteaus11
mcaffocalypse;mcafee;apocalypse;0;Schott11
Mechatronics;mechanical;electronics;0;ewPortmanteaus11
Medevac;medical;evacuation;0;english4students11
Medicaid;medical;aid;0;Minkova09
Medicare;medical;care;0;Minkova09
Medicare;medical;care;0;english4students11
Medicare;medical;care;0;wisegeek11
meformer;me;informer;0;Schott11
meld;melt;weld;0;Gries04a
meld;melt;weld;0;ewPortmanteaus11
mengagenment;men;engagement;0;Schott11
mentertainer;men;entertainer;0;Schott11
messting;mess;text_message;0;Schott11
metalloy;metal;alloy;0;thinkzone11
Microsoft;microcomputer;software;0;ewPortmanteaus11
mife;man;wife;0;ewPortmanteaus11
minfinitesimal;min;infinitesimal;0;thinkzone11
misleducation;mislead;education;0;Minkova09
!Mitel;Michael_Cowpland;Terry_Matthews;Lawnmowers;ewPortmanteaus11
Mobike;motor;bike;0;english4students11
moblog;mobile;blog;0;wisegeek11
mocamp;motor;camp;0;Gries04a
mocamp;motor;camp;0;Plag03
mocamp;motor;camp;0;BatEl06
mockney;mock;Cockney;0;ewPortmanteaus11
mockumentary;mock;documentary;0;ewPortmanteaus11
Modem;Modulator;Demodulator;0;english4students11
modem;modulator;demodulator;0;ewPortmanteaus11
momshell;mom;bombshell;0;Schott11
monoclens;monocle;lens;0;thinkzone11
moobs;man;boobs;0;ewPortmanteaus11
moocheap;mooch;cheap;0;thinkzone11
moochintzy;mooch;chintzy;0;thinkzone11
mook;magazine;book;0;Kubozono00
moorth;moon;earth;0;BatEl06
Moped;motor;pedal;0;english4students11
moped;motor;pedal;0;ewPortmanteaus11
motel;motor;hotel;0;Wikipedia11
Motel;motor;hotel;0;english4students11
motel;motor;hotel;0;wisegeek11
Motorcade;motorcar;cavalcade;0;english4students11
motormobilia;motor;automobile;memorabilia;Kemmer03
moverturn;move;overturn;0;thinkzone11
multiplex;multiple;cineplex;0;ewPortmanteaus11
municide;municipality;suicide;0;Schott11
murderase;murder;erase;0;thinkzone11
murmurmuring;murmur;murmuring;0;thinkzone11
murse;man;purse;0;ewPortmanteaus11
museomics;museum;genomics;0;Schott11
nanotech;nano;technology;0;ewPortmanteaus11
napalm;naphthene;palmitate;0;ewPortmanteaus11
narcocorrido;narcotics;corrido;0;Schott11
